date,P_Kweek_-2_Kday_-4_ETE_60_ORD_61_EXT_72_E2Ekor_69_EXTkor_59_DIFF_26,a,b,c,d,e
Sat Apr 11 12:00:00 UTC 2026,1291.9148099999875,null,null,null,null,875.5607954014474
Sat Apr 11 13:00:00 UTC 2026,1291.9148099999875,null,null,null,null,878.2359778831992
Sat Apr 11 14:00:00 UTC 2026,1291.9148099999875,null,null,null,null,880.911160364951
Sat Apr 11 15:00:00 UTC 2026,1291.9148099999875,null,null,null,null,883.5863428467028
Sat Apr 11 16:00:00 UTC 2026,1291.9148099999875,null,null,null,null,886.2615253284547
Sat Apr 11 17:00:00 UTC 2026,1291.9148099999875,null,null,null,null,888.9367078102066
Sat Apr 11 18:00:00 UTC 2026,1291.9148099999875,null,null,null,null,891.6118902919583
Sat Apr 11 19:00:00 UTC 2026,1291.9148099999875,null,null,null,null,894.2870727737102
Sat Apr 11 20:00:00 UTC 2026,1291.9148099999875,null,null,null,null,896.962255255462
Sat Apr 11 21:00:00 UTC 2026,1291.9148099999875,null,null,null,null,899.6374377372138
Sat Apr 11 22:00:00 UTC 2026,1291.9148099999875,null,null,null,null,902.3126202189655
Sat Apr 11 23:00:00 UTC 2026,1291.9148099999875,null,null,null,null,904.9878027007173
Sun Apr 12 00:00:00 UTC 2026,1291.9148099999875,null,null,null,null,907.6629851824692
Sun Apr 12 01:00:00 UTC 2026,1291.9148099999875,null,null,null,null,910.338167664221
Sun Apr 12 02:00:00 UTC 2026,1291.9148099999875,null,null,null,null,913.0133501459729
Sun Apr 12 03:00:00 UTC 2026,1291.9148099999875,null,null,null,null,915.6885326277247
Sun Apr 12 04:00:00 UTC 2026,1291.9148099999875,null,null,null,null,918.3637151094766
Sun Apr 12 05:00:00 UTC 2026,1291.9148099999875,null,null,null,null,921.0388975912283
Sun Apr 12 06:00:00 UTC 2026,1291.9148099999875,null,null,null,null,923.7140800729802
Sun Apr 12 07:00:00 UTC 2026,1291.9148099999875,null,null,null,null,926.389262554732
Sun Apr 12 08:00:00 UTC 2026,1291.9148099999875,null,null,null,null,929.0644450364839
Sun Apr 12 09:00:00 UTC 2026,1291.9148099999875,null,null,null,null,931.7396275182357
Sun Apr 12 10:00:00 UTC 2026,1291.9148099999875,null,null,null,null,934.4148099999875
Sun Apr 12 11:00:00 UTC 2026,1291.9148099999875,null,null,null,null,937.0899924817393
Sun Apr 12 12:00:00 UTC 2026,1291.9148099999875,null,null,null,null,939.7651749634911
Sun Apr 12 13:00:00 UTC 2026,1291.9148099999875,null,null,null,null,942.4403574452431
Sun Apr 12 14:00:00 UTC 2026,1291.9148099999875,null,null,null,null,945.1155399269948
Sun Apr 12 15:00:00 UTC 2026,1291.9148099999875,null,null,null,null,947.7907224087467
Sun Apr 12 16:00:00 UTC 2026,1291.9148099999875,null,null,null,null,950.4659048904985
Sun Apr 12 17:00:00 UTC 2026,1291.9148099999875,null,null,null,null,953.1410873722502
Sun Apr 12 18:00:00 UTC 2026,1291.9148099999875,null,null,null,null,955.816269854002
Sun Apr 12 19:00:00 UTC 2026,1291.9148099999875,null,null,null,null,958.4914523357538
Sun Apr 12 20:00:00 UTC 2026,1291.9148099999875,null,null,null,null,961.1666348175056
Sun Apr 12 21:00:00 UTC 2026,1255.9148099999875,null,null,null,null,963.8418172992576
Sun Apr 12 22:00:00 UTC 2026,1132.9148099999875,null,null,null,null,966.5169997810093
Sun Apr 12 23:00:00 UTC 2026,1115.9148099999875,null,null,null,null,969.1921822627612
Mon Apr 13 00:00:00 UTC 2026,1180.9148099999875,null,null,null,null,971.867364744513
Mon Apr 13 01:00:00 UTC 2026,1145.9148099999875,null,null,null,null,974.5425472262648
Mon Apr 13 02:00:00 UTC 2026,862.9148099999875,null,null,null,null,977.2177297080167
Mon Apr 13 03:00:00 UTC 2026,1164.9148099999875,null,null,null,null,979.8929121897685
Mon Apr 13 04:00:00 UTC 2026,1075.9148099999875,null,null,null,null,982.5680946715204
Mon Apr 13 05:00:00 UTC 2026,1118.9148099999875,null,null,null,null,985.2432771532722
Mon Apr 13 06:00:00 UTC 2026,1079.9148099999875,null,null,null,null,987.9184596350241
Mon Apr 13 07:00:00 UTC 2026,1163.9148099999875,null,null,null,null,990.5936421167758
Mon Apr 13 08:00:00 UTC 2026,1107.9148099999875,null,null,null,null,993.2688245985275
Mon Apr 13 09:00:00 UTC 2026,1154.9148099999875,null,null,null,null,995.9440070802793
Mon Apr 13 10:00:00 UTC 2026,1060.9148099999875,null,null,null,null,998.6191895620314
Mon Apr 13 11:00:00 UTC 2026,1130.9148099999875,null,null,null,null,1001.2943720437831
Mon Apr 13 12:00:00 UTC 2026,1090.9148099999875,null,null,null,null,1003.9695545255349
Mon Apr 13 13:00:00 UTC 2026,1164.9148099999875,null,null,null,null,1006.6447370072867
Mon Apr 13 14:00:00 UTC 2026,1066.9148099999875,null,null,null,null,1009.3199194890385
Mon Apr 13 15:00:00 UTC 2026,1109.9148099999875,null,null,null,null,1011.9951019707904
Mon Apr 13 16:00:00 UTC 2026,945.9148099999875,null,null,null,null,1014.6702844525421
Mon Apr 13 17:00:00 UTC 2026,929.9148099999875,null,null,null,null,1017.3454669342941
Mon Apr 13 18:00:00 UTC 2026,1266.9148099999875,null,null,null,null,1020.0206494160459
Mon Apr 13 19:00:00 UTC 2026,1189.9148099999875,null,null,null,null,1022.6958318977977
Mon Apr 13 20:00:00 UTC 2026,1079.9148099999875,null,null,null,null,1025.3710143795495
Mon Apr 13 21:00:00 UTC 2026,938.9148099999875,null,null,null,null,1028.0461968613015
Mon Apr 13 22:00:00 UTC 2026,1032.9148099999875,null,null,null,null,1030.721379343053
Mon Apr 13 23:00:00 UTC 2026,893.9148099999875,null,null,null,null,1033.3965618248048
Tue Apr 14 00:00:00 UTC 2026,1038.9148099999875,null,null,null,null,1036.0717443065569
Tue Apr 14 01:00:00 UTC 2026,928.9148099999875,null,null,null,null,1038.7469267883087
Tue Apr 14 02:00:00 UTC 2026,1102.9148099999875,null,null,null,null,1041.4221092700604
Tue Apr 14 03:00:00 UTC 2026,1102.9148099999875,null,null,null,null,1044.0972917518122
Tue Apr 14 04:00:00 UTC 2026,1058.9148099999875,null,null,null,null,1046.7724742335643
Tue Apr 14 05:00:00 UTC 2026,979.9148099999875,null,null,null,null,1049.447656715316
Tue Apr 14 06:00:00 UTC 2026,1111.9148099999875,null,null,null,null,1052.1228391970678
Tue Apr 14 07:00:00 UTC 2026,1226.9148099999875,null,null,null,null,1054.7980216788196
Tue Apr 14 08:00:00 UTC 2026,1076.9148099999875,null,null,null,null,1057.4732041605714
Tue Apr 14 09:00:00 UTC 2026,1258.9148099999875,null,null,null,null,1060.1483866423232
Tue Apr 14 10:00:00 UTC 2026,1080.9148099999875,null,null,null,null,1062.823569124075
Tue Apr 14 11:00:00 UTC 2026,980.9148099999875,null,null,null,null,1065.4987516058268
Tue Apr 14 12:00:00 UTC 2026,1149.9148099999875,null,null,null,null,1068.1739340875788
Tue Apr 14 13:00:00 UTC 2026,1074.9148099999875,null,null,null,null,1070.8491165693306
Tue Apr 14 14:00:00 UTC 2026,979.9148099999875,null,null,null,null,1073.5242990510824
Tue Apr 14 15:00:00 UTC 2026,929.9148099999875,null,null,null,null,1076.1994815328344
Tue Apr 14 16:00:00 UTC 2026,1131.9148099999875,null,null,null,null,1078.874664014586
Tue Apr 14 17:00:00 UTC 2026,1033.9148099999875,null,null,null,null,1081.549846496338
Tue Apr 14 18:00:00 UTC 2026,1009.9148099999875,null,null,null,null,1084.2250289780898
Tue Apr 14 19:00:00 UTC 2026,1041.9148099999875,null,null,null,null,1086.9002114598416
Tue Apr 14 20:00:00 UTC 2026,983.9148099999875,null,null,null,null,1089.5753939415931
Tue Apr 14 21:00:00 UTC 2026,974.9148099999875,null,null,null,null,1092.2505764233451
Tue Apr 14 22:00:00 UTC 2026,1096.9148099999875,null,null,null,null,1094.925758905097
Tue Apr 14 23:00:00 UTC 2026,1021.9148099999875,null,null,null,null,1097.6009413868487
Wed Apr 15 00:00:00 UTC 2026,1000.9148099999875,null,null,null,null,1100.2761238686005
Wed Apr 15 01:00:00 UTC 2026,1008.9148099999875,null,null,null,null,1102.9513063503523
Wed Apr 15 02:00:00 UTC 2026,1098.9148099999875,null,null,null,null,1105.6264888321043
Wed Apr 15 03:00:00 UTC 2026,952.9148099999875,null,null,null,null,1108.301671313856
Wed Apr 15 04:00:00 UTC 2026,980.9148099999875,null,null,null,null,1110.976853795608
Wed Apr 15 05:00:00 UTC 2026,948.9148099999875,null,null,null,null,1113.65203627736
