date,P_Kweek_78_Kday_-20_ETE_64_ORD_67_EXT_82_E2Ekor_80_EXTkor_63_DIFF_26,a,b,c,d,e
Fri Apr 10 08:00:00 UTC 2026,-2662.2806499999715,null,-2918.6139833333045,null,null,null
Fri Apr 10 09:00:00 UTC 2026,-3009.2806499999715,null,-3065.0306499999715,null,null,null
Fri Apr 10 10:00:00 UTC 2026,-3008.2806499999715,null,-3211.447316666638,null,null,null
Fri Apr 10 11:00:00 UTC 2026,-3247.2806499999715,null,-3357.863983333305,null,null,null
Fri Apr 10 12:00:00 UTC 2026,-3604.2806499999715,null,-3504.2806499999715,null,null,null
Fri Apr 10 13:00:00 UTC 2026,-1891.2806499999715,null,null,null,null,null
Fri Apr 10 14:00:00 UTC 2026,-2030.2806499999715,null,null,null,null,null
Fri Apr 10 15:00:00 UTC 2026,-2081.2806499999715,null,null,null,null,null
Fri Apr 10 16:00:00 UTC 2026,-2019.2806499999715,null,null,null,null,null
Fri Apr 10 17:00:00 UTC 2026,-2051.2806499999715,null,null,null,null,null
Fri Apr 10 18:00:00 UTC 2026,-1933.2806499999715,null,null,null,null,null
Fri Apr 10 19:00:00 UTC 2026,-1646.2806499999715,null,-1546.2806499999715,null,null,null
Fri Apr 10 20:00:00 UTC 2026,-2036.2806499999715,null,-1569.4606499999716,null,null,null
Fri Apr 10 21:00:00 UTC 2026,-2036.2806499999715,null,-1592.6406499999714,null,null,null
Fri Apr 10 22:00:00 UTC 2026,-2036.2806499999715,null,-1615.8206499999715,null,null,null
Fri Apr 10 23:00:00 UTC 2026,-2036.2806499999715,null,-1639.0006499999715,null,null,null
Sat Apr 11 00:00:00 UTC 2026,-2036.2806499999715,null,-1662.1806499999716,null,null,null
Sat Apr 11 01:00:00 UTC 2026,-2036.2806499999715,null,-1685.3606499999714,null,null,null
Sat Apr 11 02:00:00 UTC 2026,-2036.2806499999715,null,-1708.5406499999715,null,null,null
Sat Apr 11 03:00:00 UTC 2026,-2036.2806499999715,null,-1731.7206499999716,null,null,null
Sat Apr 11 04:00:00 UTC 2026,-2036.2806499999715,null,-1754.9006499999714,null,null,null
Sat Apr 11 05:00:00 UTC 2026,-2036.2806499999715,null,-1778.0806499999717,null,null,null
Sat Apr 11 06:00:00 UTC 2026,-2036.2806499999715,null,-1801.2606499999715,null,null,null
Sat Apr 11 07:00:00 UTC 2026,-2036.2806499999715,null,-1824.4406499999714,null,null,null
Sat Apr 11 08:00:00 UTC 2026,-2036.2806499999715,null,-1847.6206499999716,null,null,null
Sat Apr 11 09:00:00 UTC 2026,-2036.2806499999715,null,-1870.8006499999715,null,null,null
Sat Apr 11 10:00:00 UTC 2026,-2036.2806499999715,null,-1893.9806499999713,null,null,null
Sat Apr 11 11:00:00 UTC 2026,-2036.2806499999715,null,-1917.1606499999716,null,null,null
Sat Apr 11 12:00:00 UTC 2026,-2036.2806499999715,null,-1940.3406499999714,null,null,null
Sat Apr 11 13:00:00 UTC 2026,-2036.2806499999715,null,-1963.5206499999715,null,null,null
Sat Apr 11 14:00:00 UTC 2026,-2036.2806499999715,null,-1986.7006499999716,null,null,null
Sat Apr 11 15:00:00 UTC 2026,-2036.2806499999715,null,-2009.8806499999716,null,null,null
Sat Apr 11 16:00:00 UTC 2026,-2036.2806499999715,null,-2033.0606499999712,null,null,null
Sat Apr 11 17:00:00 UTC 2026,-2036.2806499999715,null,-2056.2406499999715,null,null,null
Sat Apr 11 18:00:00 UTC 2026,-2036.2806499999715,null,-2079.420649999972,null,null,null
Sat Apr 11 19:00:00 UTC 2026,-2036.2806499999715,null,-2102.600649999971,null,null,null
Sat Apr 11 20:00:00 UTC 2026,-2036.2806499999715,null,-2125.7806499999715,null,null,null
Sat Apr 11 21:00:00 UTC 2026,-2036.2806499999715,null,-2148.960649999972,null,null,null
Sat Apr 11 22:00:00 UTC 2026,-2036.2806499999715,null,-2172.1406499999716,null,null,null
Sat Apr 11 23:00:00 UTC 2026,-2036.2806499999715,null,-2195.3206499999715,null,null,null
