date,P_Kweek_72_Kday_91_ETE_70_ORD_70_EXT_85_E2Ekor_83_EXTkor_71_DIFF_26,a,b,c,d,e
Sun Apr 05 00:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 01:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 02:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 03:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 04:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 05:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 06:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 07:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 08:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 09:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 10:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 11:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 12:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 13:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 14:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 15:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 16:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 17:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 18:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 19:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 20:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sun Apr 05 21:00:00 UTC 2026,-2671.2433200000087,null,null,null,null,null
Sun Apr 05 22:00:00 UTC 2026,-2877.2433200000087,null,-2777.2433200000087,null,null,null
Sun Apr 05 23:00:00 UTC 2026,-2233.2433200000087,null,-2677.5766533333417,null,null,null
Mon Apr 06 00:00:00 UTC 2026,-2283.2433200000087,null,-2577.909986666675,null,null,null
Mon Apr 06 01:00:00 UTC 2026,-2189.2433200000087,null,-2478.2433200000087,null,null,null
Mon Apr 06 02:00:00 UTC 2026,-2423.2433200000087,null,-2378.576653333342,null,null,null
Mon Apr 06 03:00:00 UTC 2026,-2230.2433200000087,null,-2278.909986666675,null,null,null
Mon Apr 06 04:00:00 UTC 2026,-2341.2433200000087,null,-2179.2433200000087,null,null,null
Mon Apr 06 05:00:00 UTC 2026,-2204.2433200000087,null,-2079.5766533333417,null,null,null
Mon Apr 06 06:00:00 UTC 2026,-2261.2433200000087,null,-1979.9099866666752,null,null,null
Mon Apr 06 07:00:00 UTC 2026,-1980.2433200000087,null,-1880.2433200000087,null,null,null
Mon Apr 06 08:00:00 UTC 2026,-2082.2433200000087,null,null,null,null,null
Mon Apr 06 09:00:00 UTC 2026,-2195.2433200000087,null,null,null,null,null
Mon Apr 06 10:00:00 UTC 2026,-2268.2433200000087,null,null,null,null,null
Mon Apr 06 11:00:00 UTC 2026,-2405.2433200000087,null,null,null,null,null
Mon Apr 06 12:00:00 UTC 2026,-2197.2433200000087,null,null,null,null,null
Mon Apr 06 13:00:00 UTC 2026,-2215.2433200000087,null,null,null,null,null
Mon Apr 06 14:00:00 UTC 2026,-2434.2433200000087,null,null,null,null,null
Mon Apr 06 15:00:00 UTC 2026,-2352.2433200000087,null,null,null,null,null
Mon Apr 06 16:00:00 UTC 2026,-2099.2433200000087,null,null,null,null,null
Mon Apr 06 17:00:00 UTC 2026,-2120.2433200000087,null,null,null,null,null
Mon Apr 06 18:00:00 UTC 2026,-2559.2433200000087,null,null,null,null,null
Mon Apr 06 19:00:00 UTC 2026,-2375.2433200000087,null,null,null,null,null
Mon Apr 06 20:00:00 UTC 2026,-2318.2433200000087,null,null,null,null,null
Mon Apr 06 21:00:00 UTC 2026,-2503.2433200000087,null,null,null,null,null
Mon Apr 06 22:00:00 UTC 2026,-2719.2433200000087,null,null,null,null,null
Mon Apr 06 23:00:00 UTC 2026,-2491.2433200000087,null,null,null,null,null
Tue Apr 07 00:00:00 UTC 2026,-2424.2433200000087,null,null,null,null,null
Tue Apr 07 01:00:00 UTC 2026,-2363.2433200000087,null,null,null,null,null
Tue Apr 07 02:00:00 UTC 2026,-2190.2433200000087,null,null,null,null,null
Tue Apr 07 03:00:00 UTC 2026,-2123.2433200000087,null,null,null,null,null
Tue Apr 07 04:00:00 UTC 2026,-2123.2433200000087,null,null,null,null,null
Tue Apr 07 05:00:00 UTC 2026,-2445.2433200000087,null,null,null,null,null
Tue Apr 07 06:00:00 UTC 2026,-2170.2433200000087,null,null,null,null,null
Tue Apr 07 07:00:00 UTC 2026,-2344.2433200000087,null,null,null,null,null
Tue Apr 07 08:00:00 UTC 2026,-2103.2433200000087,null,null,null,null,null
Tue Apr 07 09:00:00 UTC 2026,-2252.2433200000087,null,null,null,null,null
Tue Apr 07 10:00:00 UTC 2026,-2158.2433200000087,null,null,null,null,null
Tue Apr 07 11:00:00 UTC 2026,-2232.2433200000087,null,null,null,null,null
Tue Apr 07 12:00:00 UTC 2026,-2494.2433200000087,null,null,null,null,null
Tue Apr 07 13:00:00 UTC 2026,-1972.2433200000087,null,null,null,null,null
Tue Apr 07 14:00:00 UTC 2026,-1899.2433200000087,null,null,null,null,null
Tue Apr 07 15:00:00 UTC 2026,-1655.2433200000087,null,null,null,null,null
Tue Apr 07 16:00:00 UTC 2026,-2210.2433200000087,null,null,null,null,null
Tue Apr 07 17:00:00 UTC 2026,-2220.2433200000087,null,null,null,null,null
Tue Apr 07 18:00:00 UTC 2026,-2329.2433200000087,null,null,null,null,null
Tue Apr 07 19:00:00 UTC 2026,-1945.2433200000087,null,null,null,null,null
Tue Apr 07 20:00:00 UTC 2026,-1860.2433200000087,null,null,null,null,null
Tue Apr 07 21:00:00 UTC 2026,-2149.2433200000087,null,null,null,null,null
Tue Apr 07 22:00:00 UTC 2026,-2194.2433200000087,null,null,null,null,null
Tue Apr 07 23:00:00 UTC 2026,-1977.2433200000087,null,null,null,null,null
Wed Apr 08 00:00:00 UTC 2026,-1822.2433200000087,null,null,null,null,null
Wed Apr 08 01:00:00 UTC 2026,-1783.2433200000087,null,null,null,null,null
Wed Apr 08 02:00:00 UTC 2026,-1980.2433200000087,null,null,null,null,null
Wed Apr 08 03:00:00 UTC 2026,-2068.2433200000087,null,null,null,null,null
Wed Apr 08 04:00:00 UTC 2026,-1936.2433200000087,null,null,null,null,null
Wed Apr 08 05:00:00 UTC 2026,-1877.2433200000087,null,null,null,null,null
Wed Apr 08 06:00:00 UTC 2026,-1762.2433200000087,null,null,null,null,null
Wed Apr 08 07:00:00 UTC 2026,-2047.2433200000087,null,null,null,null,null
Wed Apr 08 08:00:00 UTC 2026,-2094.2433200000087,null,null,null,null,null
Wed Apr 08 09:00:00 UTC 2026,-1784.2433200000087,null,null,null,null,null
Wed Apr 08 10:00:00 UTC 2026,-1856.2433200000087,null,null,null,null,null
Wed Apr 08 11:00:00 UTC 2026,-1953.2433200000087,null,null,null,null,null
Wed Apr 08 12:00:00 UTC 2026,-1998.2433200000087,null,null,null,null,null
Wed Apr 08 13:00:00 UTC 2026,-2236.2433200000087,null,null,null,null,null
Wed Apr 08 14:00:00 UTC 2026,-2144.2433200000087,null,null,null,null,null
Wed Apr 08 15:00:00 UTC 2026,-2372.2433200000087,null,null,null,null,null
Wed Apr 08 16:00:00 UTC 2026,-2482.2433200000087,null,null,null,null,null
Wed Apr 08 17:00:00 UTC 2026,-2239.2433200000087,null,null,null,null,null
Wed Apr 08 18:00:00 UTC 2026,-2370.2433200000087,null,null,null,null,null
Wed Apr 08 19:00:00 UTC 2026,-2325.2433200000087,null,null,null,null,null
Wed Apr 08 20:00:00 UTC 2026,-2523.2433200000087,null,null,null,null,null
Wed Apr 08 21:00:00 UTC 2026,-2717.2433200000087,null,null,null,null,null
Wed Apr 08 22:00:00 UTC 2026,-2776.2433200000087,null,-2676.2433200000087,null,null,null
Wed Apr 08 23:00:00 UTC 2026,-2422.2433200000087,null,-2450.9099866666756,null,null,null
Thu Apr 09 00:00:00 UTC 2026,-2096.2433200000087,null,-2225.5766533333417,null,null,null
Thu Apr 09 01:00:00 UTC 2026,-2048.2433200000087,null,-2000.2433200000087,null,null,null
Thu Apr 09 02:00:00 UTC 2026,-1853.2433200000087,null,-1774.9099866666752,null,null,null
Thu Apr 09 03:00:00 UTC 2026,-1758.2433200000087,null,-1549.5766533333422,null,null,null
Thu Apr 09 04:00:00 UTC 2026,-1424.2433200000087,null,-1324.2433200000087,null,null,null
