date,P_Kweek_64_Kday_-55_ETE_67_ORD_66_EXT_80_E2Ekor_81_EXTkor_67_DIFF_26,a,b,c,d,e
Tue Apr 14 21:00:00 UTC 2026,-243.49747000000207,null,null,null,null,null
Tue Apr 14 22:00:00 UTC 2026,-131.49747000000207,null,null,null,null,null
Tue Apr 14 23:00:00 UTC 2026,-134.49747000000207,null,null,null,null,null
Wed Apr 15 00:00:00 UTC 2026,-131.49747000000207,null,null,null,null,null
Wed Apr 15 01:00:00 UTC 2026,-308.49747000000207,null,null,null,null,null
Wed Apr 15 02:00:00 UTC 2026,-238.49747000000207,null,null,null,null,null
Wed Apr 15 03:00:00 UTC 2026,-312.49747000000207,null,null,null,null,null
Wed Apr 15 04:00:00 UTC 2026,-324.49747000000207,null,null,null,null,null
Wed Apr 15 05:00:00 UTC 2026,-263.49747000000207,null,null,null,null,null
Wed Apr 15 06:00:00 UTC 2026,-234.49747000000207,null,null,null,null,null
Wed Apr 15 07:00:00 UTC 2026,-332.49747000000207,null,null,null,null,null
Wed Apr 15 08:00:00 UTC 2026,-174.49747000000207,null,null,null,null,null
Wed Apr 15 09:00:00 UTC 2026,-57.49747000000207,null,null,null,null,null
Wed Apr 15 10:00:00 UTC 2026,-54.49747000000207,null,null,null,null,null
Wed Apr 15 11:00:00 UTC 2026,-50.49747000000207,null,null,null,null,null
Wed Apr 15 12:00:00 UTC 2026,71.50252999999793,null,null,null,null,null
Wed Apr 15 13:00:00 UTC 2026,-314.49747000000207,null,null,null,null,null
Wed Apr 15 14:00:00 UTC 2026,-173.49747000000207,null,null,null,null,null
Wed Apr 15 15:00:00 UTC 2026,17.502529999997932,null,null,null,null,null
Wed Apr 15 16:00:00 UTC 2026,-5.4974700000020675,null,null,null,null,null
Wed Apr 15 17:00:00 UTC 2026,0.5025299999979325,null,null,null,null,null
Wed Apr 15 18:00:00 UTC 2026,-132.49747000000207,null,null,null,null,null
Wed Apr 15 19:00:00 UTC 2026,-144.49747000000207,null,null,null,null,null
Wed Apr 15 20:00:00 UTC 2026,-41.49747000000207,null,null,null,null,null
Wed Apr 15 21:00:00 UTC 2026,-278.49747000000207,null,null,null,null,null
Wed Apr 15 22:00:00 UTC 2026,-225.49747000000207,null,null,null,null,null
Wed Apr 15 23:00:00 UTC 2026,-264.49747000000207,null,null,null,null,null
Thu Apr 16 00:00:00 UTC 2026,-129.49747000000207,null,null,null,null,null
Thu Apr 16 01:00:00 UTC 2026,-196.49747000000207,null,null,null,null,null
Thu Apr 16 02:00:00 UTC 2026,-43.49747000000207,null,null,null,null,null
Thu Apr 16 03:00:00 UTC 2026,26.502529999997932,null,null,null,null,null
Thu Apr 16 04:00:00 UTC 2026,-68.49747000000207,null,null,null,null,null
Thu Apr 16 05:00:00 UTC 2026,-32.49747000000207,null,null,null,null,null
Thu Apr 16 06:00:00 UTC 2026,-102.49747000000207,null,null,null,null,null
Thu Apr 16 07:00:00 UTC 2026,182.50252999999793,null,null,null,null,null
Thu Apr 16 08:00:00 UTC 2026,94.50252999999793,null,null,null,null,null
Thu Apr 16 09:00:00 UTC 2026,223.50252999999793,null,null,null,null,null
Thu Apr 16 10:00:00 UTC 2026,280.50252999999793,null,null,null,null,null
Thu Apr 16 11:00:00 UTC 2026,322.50252999999793,null,null,null,null,null
Thu Apr 16 12:00:00 UTC 2026,200.50252999999793,null,null,null,null,null
Thu Apr 16 13:00:00 UTC 2026,365.50252999999793,null,null,null,null,null
Thu Apr 16 14:00:00 UTC 2026,349.50252999999793,null,null,null,null,null
Thu Apr 16 15:00:00 UTC 2026,617.5025299999979,null,null,null,null,null
Thu Apr 16 16:00:00 UTC 2026,472.50252999999793,null,null,null,null,null
Thu Apr 16 17:00:00 UTC 2026,444.50252999999793,null,null,null,null,null
Thu Apr 16 18:00:00 UTC 2026,458.50252999999793,null,null,null,null,null
Thu Apr 16 19:00:00 UTC 2026,355.50252999999793,null,null,null,null,null
Thu Apr 16 20:00:00 UTC 2026,460.50252999999793,null,null,null,null,null
Thu Apr 16 21:00:00 UTC 2026,448.50252999999793,null,null,null,null,null
Thu Apr 16 22:00:00 UTC 2026,401.50252999999793,null,null,null,null,null
Thu Apr 16 23:00:00 UTC 2026,214.50252999999793,null,null,null,null,null
Fri Apr 17 00:00:00 UTC 2026,262.50252999999793,null,null,null,null,null
Fri Apr 17 01:00:00 UTC 2026,96.50252999999793,null,null,null,null,null
Fri Apr 17 02:00:00 UTC 2026,114.50252999999793,null,null,null,null,null
Fri Apr 17 03:00:00 UTC 2026,47.50252999999793,null,null,null,null,null
Fri Apr 17 04:00:00 UTC 2026,200.50252999999793,null,null,null,null,null
Fri Apr 17 05:00:00 UTC 2026,154.50252999999793,null,null,null,null,null
Fri Apr 17 06:00:00 UTC 2026,79.50252999999793,null,null,null,null,null
Fri Apr 17 07:00:00 UTC 2026,151.50252999999793,null,null,null,null,null
Fri Apr 17 08:00:00 UTC 2026,73.50252999999793,null,null,null,null,null
Fri Apr 17 09:00:00 UTC 2026,-37.49747000000207,null,null,null,null,null
Fri Apr 17 10:00:00 UTC 2026,-153.49747000000207,null,null,null,null,null
Fri Apr 17 11:00:00 UTC 2026,-13.497470000002068,null,null,null,null,null
Fri Apr 17 12:00:00 UTC 2026,44.50252999999793,null,null,null,null,null
Fri Apr 17 13:00:00 UTC 2026,83.50252999999793,null,null,null,null,null
Fri Apr 17 14:00:00 UTC 2026,60.50252999999793,null,null,null,null,null
Fri Apr 17 15:00:00 UTC 2026,63.50252999999793,null,null,null,null,null
Fri Apr 17 16:00:00 UTC 2026,7.5025299999979325,null,null,null,null,null
Fri Apr 17 17:00:00 UTC 2026,106.50252999999793,null,null,null,null,null
Fri Apr 17 18:00:00 UTC 2026,74.50252999999793,null,null,null,null,null
Fri Apr 17 19:00:00 UTC 2026,263.50252999999793,null,null,null,null,null
