date,P_Kweek_86_Kday_37_ETE_71_ORD_71_EXT_86_E2Ekor_85_EXTkor_70_DIFF_24,a,b,c,d,e
Sun Mar 29 15:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 16:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 17:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 18:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 19:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 20:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 21:00:00 UTC 2026,-548.8949999999895,null,null,null,null,null
Sun Mar 29 22:00:00 UTC 2026,-451.8949999999895,null,null,null,null,null
Sun Mar 29 23:00:00 UTC 2026,-350.8949999999895,null,null,null,null,null
Mon Mar 30 00:00:00 UTC 2026,-466.8949999999895,null,null,null,null,null
Mon Mar 30 01:00:00 UTC 2026,-478.8949999999895,null,null,null,null,null
Mon Mar 30 02:00:00 UTC 2026,-222.89499999998952,null,null,null,null,null
Mon Mar 30 03:00:00 UTC 2026,-341.8949999999895,null,null,null,null,null
Mon Mar 30 04:00:00 UTC 2026,-218.89499999998952,null,null,null,null,null
Mon Mar 30 05:00:00 UTC 2026,-320.8949999999895,null,null,null,null,null
Mon Mar 30 06:00:00 UTC 2026,-244.89499999998952,null,null,null,null,null
Mon Mar 30 07:00:00 UTC 2026,-349.8949999999895,null,null,null,null,null
Mon Mar 30 08:00:00 UTC 2026,-336.8949999999895,null,null,null,null,null
Mon Mar 30 09:00:00 UTC 2026,-256.8949999999895,null,null,null,null,null
Mon Mar 30 10:00:00 UTC 2026,-342.8949999999895,null,null,null,null,null
Mon Mar 30 11:00:00 UTC 2026,-349.8949999999895,null,null,null,null,null
Mon Mar 30 12:00:00 UTC 2026,-106.89499999998952,null,null,null,null,null
Mon Mar 30 13:00:00 UTC 2026,-213.89499999998952,null,null,null,null,null
Mon Mar 30 14:00:00 UTC 2026,-525.8949999999895,null,null,null,null,null
Mon Mar 30 15:00:00 UTC 2026,-261.8949999999895,null,null,null,null,null
Mon Mar 30 16:00:00 UTC 2026,-278.8949999999895,null,null,null,null,null
Mon Mar 30 17:00:00 UTC 2026,-343.8949999999895,null,null,null,null,null
Mon Mar 30 18:00:00 UTC 2026,-638.8949999999895,null,null,null,null,null
Mon Mar 30 19:00:00 UTC 2026,-697.8949999999895,null,null,null,null,null
Mon Mar 30 20:00:00 UTC 2026,-406.8949999999895,null,null,null,null,null
Mon Mar 30 21:00:00 UTC 2026,-595.8949999999895,null,null,null,null,null
Mon Mar 30 22:00:00 UTC 2026,-724.8949999999895,null,null,null,null,null
Mon Mar 30 23:00:00 UTC 2026,-346.8949999999895,null,null,null,null,null
Tue Mar 31 00:00:00 UTC 2026,-409.8949999999895,null,null,null,null,null
Tue Mar 31 01:00:00 UTC 2026,-412.8949999999895,null,null,null,null,null
Tue Mar 31 02:00:00 UTC 2026,-414.8949999999895,null,null,null,null,null
Tue Mar 31 03:00:00 UTC 2026,-553.8949999999895,null,null,null,null,null
Tue Mar 31 04:00:00 UTC 2026,-398.8949999999895,null,null,null,null,null
Tue Mar 31 05:00:00 UTC 2026,-327.8949999999895,null,null,null,null,null
Tue Mar 31 06:00:00 UTC 2026,-555.8949999999895,null,null,null,null,null
Tue Mar 31 07:00:00 UTC 2026,-509.8949999999895,null,null,null,null,null
Tue Mar 31 08:00:00 UTC 2026,-603.8949999999895,null,null,null,null,null
Tue Mar 31 09:00:00 UTC 2026,-677.8949999999895,null,null,null,null,null
Tue Mar 31 10:00:00 UTC 2026,-544.8949999999895,null,null,null,null,null
Tue Mar 31 11:00:00 UTC 2026,-738.8949999999895,null,null,null,null,null
Tue Mar 31 12:00:00 UTC 2026,-1009.8949999999895,null,null,null,null,null
Tue Mar 31 13:00:00 UTC 2026,-434.8949999999895,null,null,null,null,null
Tue Mar 31 14:00:00 UTC 2026,-908.8949999999895,null,null,null,null,null
Tue Mar 31 15:00:00 UTC 2026,-715.8949999999895,null,null,null,null,null
Tue Mar 31 16:00:00 UTC 2026,-772.8949999999895,null,null,null,null,null
Tue Mar 31 17:00:00 UTC 2026,-745.8949999999895,null,null,null,null,null
Tue Mar 31 18:00:00 UTC 2026,-688.8949999999895,null,null,null,null,null
Tue Mar 31 19:00:00 UTC 2026,-626.8949999999895,null,null,null,null,null
Tue Mar 31 20:00:00 UTC 2026,-662.8949999999895,null,null,null,null,null
Tue Mar 31 21:00:00 UTC 2026,-845.8949999999895,null,null,null,null,null
Tue Mar 31 22:00:00 UTC 2026,-775.8949999999895,null,null,null,null,null
Tue Mar 31 23:00:00 UTC 2026,-703.8949999999895,null,null,null,null,null
Wed Apr 01 00:00:00 UTC 2026,-608.8949999999895,null,null,null,null,null
Wed Apr 01 01:00:00 UTC 2026,-617.8949999999895,null,null,null,null,null
Wed Apr 01 02:00:00 UTC 2026,-871.8949999999895,null,null,null,null,null
Wed Apr 01 03:00:00 UTC 2026,-874.8949999999895,null,null,null,null,null
Wed Apr 01 04:00:00 UTC 2026,-898.8949999999895,null,null,null,null,null
Wed Apr 01 05:00:00 UTC 2026,-924.8949999999895,null,null,null,null,null
Wed Apr 01 06:00:00 UTC 2026,-952.8949999999895,null,null,null,null,null
Wed Apr 01 07:00:00 UTC 2026,-890.8949999999895,null,-790.8949999999895,null,null,null
Wed Apr 01 08:00:00 UTC 2026,-787.8949999999895,null,-736.2521428571324,null,null,null
Wed Apr 01 09:00:00 UTC 2026,-514.8949999999895,null,-681.6092857142752,null,null,null
Wed Apr 01 10:00:00 UTC 2026,-426.8949999999895,null,-626.9664285714181,null,null,null
Wed Apr 01 11:00:00 UTC 2026,-233.89499999998952,null,-572.323571428561,null,null,null
Wed Apr 01 12:00:00 UTC 2026,-265.8949999999895,null,-517.6807142857039,null,null,null
Wed Apr 01 13:00:00 UTC 2026,-297.8949999999895,null,-463.03785714284663,null,null,null
Wed Apr 01 14:00:00 UTC 2026,-280.8949999999895,null,-408.3949999999895,null,null,null
Wed Apr 01 15:00:00 UTC 2026,-408.8949999999895,null,-353.75214285713236,null,null,null
Wed Apr 01 16:00:00 UTC 2026,-444.8949999999895,null,-299.10928571427525,null,null,null
Wed Apr 01 17:00:00 UTC 2026,-202.89499999998952,null,-244.46642857141808,null,null,null
Wed Apr 01 18:00:00 UTC 2026,-407.8949999999895,null,-189.82357142856094,null,null,null
Wed Apr 01 19:00:00 UTC 2026,-489.8949999999895,null,-135.1807142857038,null,null,null
Wed Apr 01 20:00:00 UTC 2026,-324.8949999999895,null,-80.53785714284666,null,null,null
Wed Apr 01 21:00:00 UTC 2026,-125.89499999998952,null,-25.894999999989523,null,null,null
Wed Apr 01 22:00:00 UTC 2026,-227.89499999998952,null,null,null,null,null
Wed Apr 01 23:00:00 UTC 2026,-217.89499999998952,null,null,null,null,null
Thu Apr 02 00:00:00 UTC 2026,-197.89499999998952,null,null,null,null,null
Thu Apr 02 01:00:00 UTC 2026,-372.8949999999895,null,null,null,null,null
Thu Apr 02 02:00:00 UTC 2026,-349.8949999999895,null,null,null,null,null
Thu Apr 02 03:00:00 UTC 2026,-325.8949999999895,null,null,null,null,null
